2009-01-09,BPT,1.637
2009-01-09,GBCI,0.130
2009-01-09,SUI,0.630
2009-01-09,TEL,0.160
2009-01-12,BWL.A,0.150
2009-01-12,CATY,0.105
2009-01-12,CCA,0.055
2009-01-12,CIF,0.025
2009-01-12,CMU,0.026
2009-01-12,CXE,0.027
2009-01-12,CXH,0.043
2009-01-12,GJO,0.052
2009-01-12,GJP,0.064
2009-01-12,GJS,0.020
2009-01-12,ISM,0.148
2009-01-12,MCR,0.049
2009-01-12,MFM,0.038
2009-01-12,MFV,0.038
2009-01-12,MGF,0.043
2009-01-12,MIN,0.047
2009-01-12,MMT,0.035
2009-01-12,NRO,0.038
2009-01-12,OMAB,0.209
2009-01-12,OSM,0.147
2009-01-12,WAYN,0.120
2009-01-13,ABT,0.173
2009-01-13,AFG,0.130
2009-01-13,AGC,0.066
2009-01-13,AP,0.180
2009-01-13,AVK,0.094
2009-01-13,BAF,0.058
2009-01-13,BBF,0.073
2009-01-13,BBK,0.073
2009-01-13,BELFA,0.060
2009-01-13,BELFB,0.070
2009-01-13,BFK,0.069
2009-01-13,BFO,0.051
2009-01-13,BFY,0.063
2009-01-13,BFZ,0.068
2009-01-13,BHV,0.072
2009-01-13,BIE,0.069
2009-01-13,BJZ,0.061
2009-01-13,BKE,0.195
2009-01-13,BKK,0.062
2009-01-13,BKN,0.063
2009-01-13,BLE,0.066
2009-01-13,BLH,0.069
2009-01-13,BLJ,0.071
2009-01-13,BNJ,0.078
2009-01-13,BNY,0.075
2009-01-13,BONT,0.050
2009-01-13,BPK,0.076
2009-01-13,BPOPM,0.128
2009-01-13,BPOPN,0.140
2009-01-13,BQH,0.068
2009-01-13,BSD,0.063
2009-01-13,BSE,0.058
2009-01-13,BTA,0.055
2009-01-13,BYM,0.061
2009-01-13,BZM,0.065
2009-01-13,CAC,0.250
2009-01-13,CE,0.040
2009-01-13,CHCO,0.340
2009-01-13,CLM,0.700
